benchmark_run_id,run_id,mission,scenario,seed_range_start,seed_range_end,strategy,profile,total_runs,success_rate,avg_task_completion_rate,avg_detection_ticks,avg_reallocation_ticks,avg_messages_attempted,avg_messages_dropped,avg_tasks_injected,avg_tasks_expired,avg_conflicting_assignments,avg_network_availability,avg_relay_reallocation_ticks,avg_avg_hop_count,avg_disconnected_agents_max,avg_coverage_progress,avg_bytes_sent,avg_stale_state_age_ticks,avg_battery_margin_min,avg_battery_margin_avg,time_to_find,probability_of_detection,targets_found,safety_violations,belief_entropy_final,false_positive_rate,confirmation_scans,convergence_ticks_p50,convergence_ticks_p95,avg_bundle_travel_distance,avg_edge_coverage_rate,avg_missed_edges,avg_revisit_count,avg_route_efficiency,avg_route_length,avg_wasted_travel,avg_return_reserve,avg_infeasible_routes,avg_hazard_zones_mapped,avg_priority_updates,avg_final_threat_level,avg_high_priority_zones_mapped,avg_time_to_map_first_high_risk,avg_zone_observations,avg_urban_route_length_m,avg_urban_route_risk_score,urban_route_planned_rate,avg_urban_violation_count,urban_route_completed_rate,urban_patrol_completed_rate,avg_urban_time_to_complete_loop,avg_urban_distance_travelled_m,avg_urban_route_efficiency,avg_urban_replan_count,bus_detection_rate,avg_time_to_detect_bus,avg_false_positive_count,avg_distance_before_detection,search_success_without_violation_rate,avg_urban_min_agent_separation_m,avg_urban_separation_violation_count,avg_urban_route_conflict_count
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_partition-prone-multiple-failures,coverage,coverage,0,1000,auction,coverage/partition-prone-multiple-failures,1000,1.000,1.000,0.033,0.000,14606.496,4777.498,0.000,0.000,0.000,0.995,0.000,1.000,1.927,1.000,663771.285,189.594,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_partition-prone-no-failures,coverage,coverage,0,1000,auction,coverage/partition-prone-no-failures,1000,1.000,1.000,0.000,0.000,18000.000,2698.830,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,818280.000,2.703,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_coverage_auction_coverage_partition-prone-single-failure,coverage,coverage,0,1000,auction,coverage/partition-prone-single-failure,1000,1.000,1.000,0.019,0.000,16280.955,3906.105,0.000,0.000,0.000,0.998,0.000,1.000,0.998,1.000,740026.260,191.123,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_emergency-mesh_auction_emergency-mesh_ideal,emergency-mesh,emergency-mesh,0,1000,auction,emergency-mesh/ideal,1000,0.363,0.592,0.000,0.564,7980.000,2792.328,0.000,0.000,1.209,0.596,0.293,2.320,1.409,0.796,762933.375,138.036,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_emergency-mesh_auction_emergency-mesh_low-loss,emergency-mesh,emergency-mesh,0,1000,auction,emergency-mesh/low-loss,1000,0.366,0.594,0.000,0.553,7980.000,3037.742,0.000,0.000,1.433,0.598,0.315,2.319,1.423,0.797,761690.250,136.985,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_emergency-mesh_auction_emergency-mesh_medium-loss,emergency-mesh,emergency-mesh,0,1000,auction,emergency-mesh/medium-loss,1000,0.332,0.457,0.000,0.640,9990.000,4998.399,0.000,0.000,5.294,0.464,0.320,2.250,1.765,0.729,936185.250,201.655,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_emergency-mesh_auction_emergency-mesh_packet-loss-10,emergency-mesh,emergency-mesh,0,1000,auction,emergency-mesh/packet-loss-10,1000,0.357,0.575,0.000,0.503,7980.000,3341.919,0.000,0.000,2.018,0.580,0.259,2.319,1.417,0.787,762516.750,138.070,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_emergency-mesh_auction_emergency-mesh_single-failure,emergency-mesh,emergency-mesh,0,1000,auction,emergency-mesh/single-failure,1000,0.553,0.553,0.687,0.452,5483.675,3290.117,0.000,0.000,1.377,0.254,0.230,2.314,3.672,0.776,509931.975,159.746,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_sar_auction_sar_ideal,sar,sar,0,1000,auction,sar/ideal,1000,0.003,0.997,0.000,0.000,8000.000,5214.198,0.000,0.000,35946.473,0.052,0.000,0.483,4.796,0.726,1138716.768,278.660,79.010,94.362,16.710,0.584,1.168,0.000,0.643,0.574,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,85.343,0.848,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-05-31T193356Z_all_1000_full,2026-05-31T193356Z_all_1000_full_sar_auction_sar_standard,sar,sar,0,1000,auction,sar/standard,1000,0.000,0.990,0.000,0.000,22386.000,18119.440,0.000,0.000,64998.221,0.039,0.000,0.378,6.798,0.811,4886702.652,397.668,74.772,95.088,28.545,0.444,1.333,0.000,0.440,0.439,0.000,1.000,1.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,83.208,1.236,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
